"UnityVersion","OperatingSystem","Processor","ScenarioId","ScenarioName","ScenarioDescription","Phase","PipelineMode","ObjectCount","PropertyCount","SourceCount","ApiMode","Logging","WarmupFrames","MeasurementFrames","ExpectedPayload","ExpectedCommand","RepeatCount","FrameMsMedian","FrameMsP95","GcBytesMedian","GcBytesP95","SyncCallsMedian","SyncMsMedian","SyncMsP95","SyncGcBytesMedian","SyncGcBytesP95","PipelineExecutionsMedian","SubmitMsMedian","ResolveMsMedian","WriteMsMedian","AppliedMedian","OverriddenMedian","FrameMsMax","GcBytesMax","SyncMsMax","SyncGcBytesMax","RejectedMax","WriterFailedMax"
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF","SMK","Smoke","快速冒烟：10 个对象、4 个属性、2 个来源，验证完整提交、冲突裁决和写入链路可运行","UrpBaseline","RenderGraph","10","4","2","ForMaterial","False","8","12","0","0","3","0.8896","1.2356","8336","11531","0","0","0","0","0","0","0","0","0","0","0","2.8693","11696","0","0","0","0"
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF","SMK","Smoke","快速冒烟：10 个对象、4 个属性、2 个来源，验证完整提交、冲突裁决和写入链路可运行","RendererBaseline","RenderGraph","10","4","2","ForMaterial","False","8","12","0","0","3","0.8561","1.2634","8336","11345.6","0","0","0","0","0","0","0","0","0","0","0","2.2297","15024","0","0","0","0"
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF","SMK","Smoke","快速冒烟：10 个对象、4 个属性、2 个来源，验证完整提交、冲突裁决和写入链路可运行","InstanceIdle","RenderGraph","10","4","2","ForMaterial","False","8","12","0","0","3","0.8649","0.9829","10558","16588.1","0","0","0","0","0","1","0","0","0","0","0","2.7223","23902","0","0","0","0"
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF","SMK","Smoke","快速冒烟：10 个对象、4 个属性、2 个来源，验证完整提交、冲突裁决和写入链路可运行","Submission","RenderGraph","10","4","2","ForMaterial","False","8","12","80","40","3","1.6261","2.512","87838","90359.8","0","0","0","0","0","1","0.3023","0.0227","0.2578","40","40","5.0723","93605","0","0","0","0"
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF","B00","PhasedBaseline","分阶段空载基线：300 个对象、无提交，对比 URP、Renderer 和 Instance Idle 开销","UrpBaseline","RenderGraph","300","12","0","None","False","120","300","0","0","3","0.8316","0.9713","8588","8590.6","0","0","0","0","0","0","0","0","0","0","0","3.6103","115116","0","0","0","0"
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF","B00","PhasedBaseline","分阶段空载基线：300 个对象、无提交，对比 URP、Renderer 和 Instance Idle 开销","RendererBaseline","RenderGraph","300","12","0","None","False","120","300","0","0","3","0.8444","1.1059","8588","8588","0","0","0","0","0","0","0","0","0","0","0","2.4364","221612","0","0","0","0"
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF","B00","PhasedBaseline","分阶段空载基线：300 个对象、无提交，对比 URP、Renderer 和 Instance Idle 开销","InstanceIdle","RenderGraph","300","12","0","None","False","120","300","0","0","3","0.8784","1.1577","10918","10920.6","0","0","0","0","0","1","0","0","0","0","0","4.1178","31558","0","0","0","0"
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF","B01","SmallSingleSource","小规模单来源：100 个对象、12 个属性、1 个来源，观察无冲突 Submit 和 Writer 基础成本","UrpBaseline","RenderGraph","100","12","1","ForMaterial","False","120","300","0","0","3","0.8925","1.379","8672","8674.6","0","0","0","0","0","0","0","0","0","0","0","3.2071","115200","0","0","0","0"
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF","B01","SmallSingleSource","小规模单来源：100 个对象、12 个属性、1 个来源，观察无冲突 Submit 和 Writer 基础成本","RendererBaseline","RenderGraph","100","12","1","ForMaterial","False","120","300","0","0","3","0.9153","1.3448","8672","8672","0","0","0","0","0","0","0","0","0","0","0","5.6003","221696","0","0","0","0"
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF","B01","SmallSingleSource","小规模单来源：100 个对象、12 个属性、1 个来源，观察无冲突 Submit 和 Writer 基础成本","InstanceIdle","RenderGraph","100","12","1","ForMaterial","False","120","300","0","0","3","0.8774","1.0926","11038","11038","0","0","0","0","0","1","0","0","0","0","0","8.0243","15322","0","0","0","0"
