UnityVersion,OperatingSystem,Processor,ScenarioId,ScenarioName,Phase,PipelineMode,ObjectCount,PropertyCount,SourceCount,ApiMode,Logging,WarmupFrames,MeasurementFrames,ExpectedPayload,ExpectedCommand,FrameMsMedian,FrameMsP95,FrameMsMax,GcBytesMedian,GcBytesP95,GcBytesMax,SyncCallsMedian,SyncMsMedian,SyncMsP95,SyncMsMax,SyncGcBytesMedian,SyncGcBytesP95,SyncGcBytesMax,PipelineExecutionsMedian,SubmitMsMedian,ResolveMsMedian,WriteMsMedian,AppliedMedian,OverriddenMedian,RejectedMax,WriterFailedMax
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF",B00,PhasedBaseline,UrpBaseline,RenderGraph,300,12,0,None,False,120,300,0,0,1.0343,1.8599,2.592,8588,8643.8,123308,0,0,0,0.0579,0,0,0,0,0,0,0,0,0,0,0
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF",B00,PhasedBaseline,RendererBaseline,RenderGraph,300,12,0,None,False,120,300,0,0,0.9609,1.8971,4.6889,8588,8588,237996,0,0,0,0.0045,0,0,0,0,0,0,0,0,0,0,0
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF",B00,PhasedBaseline,InstanceIdle,RenderGraph,300,12,0,None,False,120,300,0,0,1.1143,2.1139,3.7711,10840,10978.95,31480,0,0,0,0.332,0,0,0,1,0,0,0,0,0,0,0
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF",B04,MainRealLoad,UrpBaseline,RenderGraph,300,12,3,ForMaterial,False,120,300,0,0,0.9077,1.2647,2.0283,8452,8520.2,123172,0,0,0,0.0567,0,0,0,0,0,0,0,0,0,0,0
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF",B04,MainRealLoad,RendererBaseline,RenderGraph,300,12,3,ForMaterial,False,120,300,0,0,0.879,1.3059,2.6195,8452,8452,237860,0,0,0,0.0049,0,0,0,0,0,0,0,0,0,0,0
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF",B04,MainRealLoad,InstanceIdle,RenderGraph,300,12,3,ForMaterial,False,120,300,0,0,0.8869,1.3732,3.1684,10680,10680,13614,0,0,0,0.1962,0,0,0,1,0,0,0,0,0,0,0
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF",B04,MainRealLoad,Submission,RenderGraph,300,12,3,ForMaterial,False,120,300,10800,3600,174.0841,239.8019,329.4274,20441760,20444556,20900544,0,0,0,0.2634,0,0,0,1,34.6386,103.7723,18.3115,3600,7200,0,0
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF",B05,LargeObjectPressure,UrpBaseline,RenderGraph,500,12,3,ForMaterial,False,60,120,0,0,0.8789,1.1593,1.7779,8648,10523.5,37352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF",B05,LargeObjectPressure,RendererBaseline,RenderGraph,500,12,3,ForMaterial,False,60,120,0,0,0.8815,1.2759,1.9442,8648,8648,66024,0,0,0,0.0639,0,0,0,0,0,0,0,0,0,0,0
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF",B05,LargeObjectPressure,InstanceIdle,RenderGraph,500,12,3,ForMaterial,False,60,120,0,0,0.9363,1.2578,1.8686,10960,10960,125680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6000.4.7f1","Windows 10  (10.0.19045) 64bit","Intel(R) Core(TM) i7-14700KF",B05,LargeObjectPressure,Submission,RenderGraph,500,12,3,ForMaterial,False,60,120,18000,6000,252.3001,304.8377,448.5181,34062040,34067953.35,34082107,0,0,0,0,0,0,0,1,51.6055,151.5446,26.0808,6000,12000,0,0
