"ScenarioId","ScenarioName","Description","Stage","ObjectCount","PropertyCount","SourceCount","WriteMode","IncludeDiagnostics","InputCount","TargetCount","TimeRepeatCount","TimeSamplesPerRepeat","MedianMs","P95Ms","MaxMs","GcSampleCount","GcMedianBytes","GcP95Bytes","GcMaxBytes","NsPerInput","BytesPerInput","MaterialArrayReadMedian","MaterialArrayReadsPerInput"
"S01","SubmitSingle","单个 Payload 的 Submit 固定开销","Submit","1","1","1","None","False","1","1","3","100","0.0047","0.0057","0.0191","100","420","420","420","4700","420","0","0"
"S02","SubmitSmallSingleSource","1200 Payload 无冲突 Submit 基线","Submit","100","12","1","None","False","1200","100","3","100","5.4864","6.1486","11.087","100","512600","512600","512600","4572","427.1667","0","0"
"S03","SubmitSmallConflict","3600 Payload 三来源 Submit 压力","Submit","100","12","3","None","False","3600","100","3","100","16.0818","18.9981","45.9726","100","1537800","1537800","1537800","4467.16666666667","427.1667","0","0"
"S04","SubmitMainRealLoad","10800 Payload 主真实负载 Submit 压力","Submit","300","12","3","None","False","10800","300","3","100","47.8744","61.4877","99.4163","100","4613400","4613400","4613400","4432.81481481481","427.1667","0","0"
"W00","WriterEmpty","Writer 空命令固定开销","Writer","1","1","1","MaterialInstance","False","0","0","3","100","0.0002","0.0002","0.0054","100","0","0","0","0","0","0","0"
"W01","WriterSingle","Writer 单命令固定开销","Writer","1","1","1","MaterialInstance","False","1","1","3","100","0.0014","0.0019","0.0081","100","128","128","128","1400","128","2","2"
"W02","WriterSmallBatch","1200 Command 和 100 个材质目标","Writer","100","12","1","MaterialInstance","False","1200","100","3","100","1.4921","1.6037","2.4536","100","153600","153600","153600","1243.41666666667","128","2400","2"
"W03","WriterMainBatch","3600 Command 和 300 个材质目标","Writer","300","12","1","MaterialInstance","False","3600","300","3","100","4.401","4.6184","5.588","100","460800","460800","460800","1222.5","128","7200","2"
"W04","WriterLargeBatch","6000 Command 和 500 个材质目标","Writer","500","12","1","MaterialInstance","False","6000","500","3","100","7.3692","7.6305","8.7","100","768000","768000","768000","1228.2","128","12000","2"
"W05","WriterPropertyBlock","3600 Command 的 MaterialPropertyBlock 对照","Writer","300","12","1","MaterialPropertyBlock","False","3600","300","3","100","3.388","3.6134","4.3453","100","316800","316800","316800","941.111111111111","88","3600","1"
"W06","WriterMainBatchWithDiagnostics","3600 Command 携带诊断上下文的完整 Writer 路径","Writer","300","12","1","MaterialInstance","True","3600","300","3","100","20.5725","23.8864","46.4161","100","4132800","4132800","4132800","5714.58333333333","1148","7200","2"
